Adipose - Subcutaneous,adipose tissue (16),white adipose tissue (2),,
Adipose - Visceral (Omentum),adipose tissue (16),white adipose tissue (2),,
Brain - Cerebellar Hemisphere,brain (263),cerebellum (29),,
Brain - Cerebellum,cerebellum (29),brain (263),,
Brain - Cortex,cerebral cortex (41),brain (263),,
Brain - Frontal Cortex (BA9),brain (263),frontal lobe (2),cerebral cortex (41),
Brain - Hippocampus,hippocampus (2),brain (263),,
Brain - Hypothalamus,hypothalamus (8),brain (263),,
Brain - Nucleus accumbens (basal ganglia),nucleus accumbens (1),brain (263),,
Brain - Putamen (basal ganglia),caudate putamen (1),brain (263),,
Brain - Spinal cord (cervical c-1),spinal cord (43),brain (263),,
Brain - Substantia nigra,substantia nigra (1),brain (263),,
Adrenal Gland,adrenal gland (61),,,
Breast - Mammary Tissue,mammary gland (66),,,
Cells - EBV-transformed lymphocytes,lymphocyte (458),t-lymphocyte (333),b-lymphocyte (204),
Cells - Transformed fibroblasts,skin fibroblast (4),,,
Cervix - Ectocervix,uterine cervix (1),,,
Cervix - Endocervix,uterine cervix (1),,,
Colon - Sigmoid,large intestine (9),intestine (5),gastrointestinal tract (21),intestinal epithelium (4)
Colon - Transverse,large intestine (9),intestine (5),gastrointestinal tract (21),intestinal epithelium (4)
Esophagus - Gastroesophageal Junction,esophagus (1),,,
Esophagus - Mucosa,esophagus (1),,,
Esophagus - Muscularis,esophagus (1),,,
Artery - Aorta,aorta (1),artery (12),,
Fallopian Tube,uterus (3),,,
Heart - Atrial Appendage,heart (337),atrium (20),,
Heart - Left Ventricle,heart ventricle (13),heart (337),,
Kidney - Cortex,kidney (249),renal cortex (2),,
Liver,liver (10),,,
Lung,lung (64),,,
Minor Salivary Gland,salivary gland (37),,,
Muscle - Skeletal,skeletal muscle (155),,,
Nerve - Tibial,peripheral nervous system (16),,,
Ovary,ovary (19),,,
Artery - Coronary,coronary artery (1),artery (12),,
Pancreas,pancreas (14),,,
Pituitary,hypophysis (15),adenohypophysis (9),,
Prostate,prostate gland (40),,,
Skin - Not Sun Exposed (Suprapubic),skin (3),epidermis (73),,
Skin - Sun Exposed (Lower leg),skin (3),epidermis (73),,
Small Intestine - Terminal Ileum,small intestine (10),gastrointestinal tract (21),intestine (5),
Spleen,spleen (2),,,
Stomach,stomach (8),gastrointestinal tract (21),,
Testis,testis (4),,,
Thyroid,thyroid gland (21),,,
Artery - Tibial,artery (12),,,
Uterus,uterus (3),uterine endometrium (22),,
Vagina,vagina (1),,,
Whole Blood,blood platelet (39),blood plasma (53),blood (337),
Bladder,urinary bladder (2),,,
Brain - Amygdala,amygdala (1),brain (263),,
Brain - Anterior cingulate cortex (BA24),brain (263),,,
Brain - Caudate (basal ganglia),caudate putamen (1),caudate nucleus (1),brain (263),
