Donor_ID	Adipose - Subcutaneous	Adipose - Visceral (Omentum)	Adrenal Gland	Artery - Aorta	Artery - Coronary	Artery - Tibial	Bladder	Brain - Amygdala	Brain - Anterior cingulate cortex (BA24)	Brain - Caudate (basal ganglia)	Brain - Cerebellar Hemisphere	Brain - Cerebellum	Brain - Cortex	Brain - Frontal Cortex (BA9)	Brain - Hippocampus	Brain - Hypothalamus	Brain - Nucleus accumbens (basal ganglia)	Brain - Putamen (basal ganglia)	Brain - Spinal cord (cervical c-1)	Brain - Substantia nigra	Breast - Mammary Tissue	Cells - EBV-transformed lymphocytes	Cells - Transformed fibroblasts	Cervix - Ectocervix	Cervix - Endocervix	Colon - Sigmoid	Colon - Transverse	Esophagus - Gastroesophageal Junction	Esophagus - Mucosa	Esophagus - Muscularis	Fallopian Tube	Heart - Atrial Appendage	Heart - Left Ventricle	Kidney - Cortex	Liver	Lung	Minor Salivary Gland	Muscle - Skeletal	Nerve - Tibial	Ovary	Pancreas	Pituitary	Prostate	Skin - Not Sun Exposed (Suprapubic)	Skin - Sun Exposed (Lower leg)	Small Intestine - Terminal Ileum	Spleen	Stomach	Testis	Thyroid	Uterus	Vagina	Whole Blood
11EMC	56.4302362748	0.0	56.963808002	50.3146691875	0.0	43.7925139204	0.0	0.0	0.0	0.0	0.0	40.6251496196	64.149489988	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.7237507923	58.5985536783	52.1910069466	0.0	0.0	51.7567646665	0.0	0.0	51.519045429	0.0	0.0	83.3568438012	94.6367312239	0.0	0.0	54.5091248114	0.0	63.8395188867	0.0	42.7004413028	0.0	49.8198172926	0.0	0.0	45.6293689688	0.0	0.0	0.0	0.0	46.8552041605	38.4291913927	51.3506631195	202.986135961
11EQ8	46.5480138858	0.0	0.0	0.0	0.0	49.9113251495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.8358518396	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.6269895226	0.0	0.0	0.0	0.0	0.0	63.0558550153	0.0	0.0	0.0	0.0	0.0	46.6235751622	0.0	0.0	0.0	0.0	40.3408892449	39.0093043869	0.0	0.0	187.811215237
11EQ9	59.6687416464	72.5591689947	67.0084767167	0.0	0.0	56.7997079387	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.3891704133	56.2186851932	0.0	0.0	0.0	57.2697557569	52.6768114882	49.2455157299	61.4907824397	54.2017279096	0.0	0.0	0.0	0.0	80.8573397363	49.2731718761	56.9791552287	67.0780612828	44.715108293	0.0	89.9621628963	0.0	57.6999329374	55.7061651185	50.0970434887	53.620540497	54.8920868108	54.8666836327	39.6733645816	46.250080485	0.0	0.0	198.696226617
11GS4	50.9399424138	54.0005347627	0.0	46.9127737683	55.0856291953	53.7779319303	0.0	0.0	0.0	0.0	0.0	0.0	59.8637063943	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.4722918083	0.0	51.1923781985	0.0	0.0	55.0031494234	0.0	0.0	0.0	72.7007828764	0.0	83.6690034841	98.6720809434	77.101808656	0.0	0.0	0.0	84.4268981228	0.0	0.0	0.0	51.4780490176	0.0	46.5728325531	56.8023095631	0.0	0.0	0.0	35.4879684178	41.4971575819	0.0	0.0	149.329579644
11GSO	53.9945907333	57.3186495293	0.0	0.0	0.0	0.0	0.0	0.0	57.3790956645	0.0	0.0	38.1409762406	56.1941179064	0.0	62.6256364562	0.0	0.0	0.0	0.0	67.1653574274	58.2720338293	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.0027403236	39.464261414	0.0	0.0	0.0	0.0	0.0	46.4263953955	0.0	0.0	0.0	0.0	0.0	0.0	0.0	183.538144111
11GSP	0.0	0.0	62.5650772406	53.3018057491	0.0	55.5329254905	0.0	0.0	0.0	53.6774337502	33.5580208122	38.4195773814	65.1346236025	61.1500176626	0.0	59.5270920267	63.3203224203	58.386023761	61.1824248523	0.0	0.0	0.0	50.7479315653	0.0	0.0	0.0	53.789138584	0.0	61.0821178726	52.2472144077	0.0	71.4183556143	99.2282302866	0.0	77.3754313094	48.2514551618	0.0	78.3147325267	43.082077429	45.5492325268	0.0	0.0	0.0	45.0680023084	51.0169067054	0.0	0.0	79.9496514382	0.0	0.0	39.2026949333	43.0047611064	175.213889668
11H98	61.3034979485	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.4215157237	34.801227867	0.0	0.0	56.7448503925	0.0	63.0352369814	0.0	0.0	0.0	0.0	0.0	0.0	51.4243551077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72.6767846909	43.3841312677	0.0	0.0	0.0	0.0	0.0	56.2436418431	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11I78	56.348870255	66.2538164075	63.3753176639	48.2988265587	54.3613249215	51.9532535024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.8780210812	48.6212003277	51.9475249763	0.0	0.0	54.1075607833	64.8932666714	0.0	63.1863368387	48.453678506	0.0	0.0	73.3457658351	0.0	0.0	51.9764119876	0.0	69.6373645129	0.0	51.1417511128	105.493992683	0.0	0.0	0.0	0.0	53.5364878606	0.0	61.2380489712	0.0	45.6182935362	47.0390764774	56.8642004651	83.7502554936
11LCK	52.3323086406	58.6203788857	0.0	56.4439797595	0.0	54.2050326244	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.2092669669	0.0	53.2921625494	0.0	0.0	0.0	69.7048768716	50.957274049	65.360398569	53.1674267446	0.0	76.117383257	78.0999561386	0.0	0.0	50.4768303603	0.0	76.9848123537	42.6355767247	0.0	88.432965047	0.0	0.0	48.5945468399	49.6766323658	0.0	51.1048074826	0.0	42.3907054612	41.2415159109	0.0	0.0	71.7681351486
11NSD	0.0	0.0	59.3851159817	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.5044690405	0.0	50.7595120203	0.0	0.0	0.0	54.9638416503	0.0	60.2264048859	53.9529078053	0.0	0.0	0.0	0.0	0.0	50.7907742306	0.0	76.0190381892	42.3504151942	0.0	110.610022412	0.0	46.1048838229	60.4714369357	47.4464966968	47.4811296475	53.9444061605	83.9466602987	41.2079535829	39.7837613649	0.0	0.0	36.3077535897
