# Number of gene annotations for each GO term that are being used for experiments.
# GO_Term	Num_Genes
GO:0030218	27
GO:0001568	27
GO:0071622	27
GO:2000401	27
GO:0060998	27
GO:0050853	27
GO:0006940	27
GO:0010830	27
GO:0010743	27
GO:0007286	26
GO:0048636	26
GO:0030317	26
GO:0045844	26
GO:0021953	26
GO:2000514	26
GO:0055010	26
GO:0061035	26
GO:0046006	26
GO:0048247	26
GO:0055024	26
GO:0043502	26
GO:0050854	26
GO:0010543	26
GO:0060411	26
GO:0045742	26
GO:0035036	26
GO:0046928	25
GO:0022400	25
GO:0051966	25
GO:0045661	25
GO:0002762	25
GO:0043009	25
GO:0045604	25
GO:0002711	25
GO:0090184	25
GO:0051155	25
GO:0009792	25
GO:0045599	25
GO:0055002	25
GO:0048844	25
GO:0002704	24
GO:0043113	24
GO:0006939	24
GO:0051963	24
GO:0022602	24
GO:2000107	24
GO:0003073	24
GO:0001570	24
GO:0010470	24
GO:0002244	24
GO:0045646	24
GO:0046638	24
GO:0030517	24
GO:0001843	24
GO:0030890	24
GO:0042552	23
GO:0030239	23
GO:0045620	23
GO:0007270	23
GO:0034369	23
GO:0002062	23
GO:0045668	23
GO:0043300	23
GO:0046627	23
GO:0043537	23
GO:0001912	23
GO:0030514	23
GO:0001701	23
GO:0043370	23
GO:0014910	23
GO:0003151	22
GO:0002686	22
GO:0048791	22
GO:0040019	22
GO:0042130	22
GO:0061178	22
GO:0046850	22
GO:0033003	22
GO:0048641	22
GO:0002715	22
GO:0007519	22
GO:0072073	22
GO:0045823	21
GO:0048704	21
GO:0045744	21
GO:0042312	21
GO:0009880	21
GO:0002886	21
GO:0042269	21
GO:0014743	21
GO:2000516	21
GO:0030326	21
GO:0045933	21
GO:0010611	21
GO:0007212	21
GO:0032330	21
GO:0043536	21
GO:0048168	21
GO:0090022	21
GO:0002323	21
GO:0002040	21
GO:0035113	21
GO:0010882	20
GO:0045747	20
GO:0043114	20
GO:0002275	20
GO:0008038	20
GO:0045616	20
GO:0021987	20
GO:0046631	20
GO:0030947	20
GO:0050805	20
GO:0060420	20
GO:0045581	20
GO:0048662	20
GO:0002707	19
GO:0003206	19
GO:0048592	19
GO:0060334	19
GO:0003007	19
GO:0007176	19
GO:0030282	19
GO:0071875	19
GO:0035051	19
GO:0032924	19
GO:0019228	19
GO:0002385	19
GO:0030324	19
GO:0051216	19
GO:0071624	19
GO:0001961	19
GO:0045622	19
GO:0048843	19
GO:0070997	19
GO:0007597	18
GO:0003208	18
GO:2000404	18
GO:0010001	18
GO:0071880	18
GO:0001658	18
GO:0001909	18
GO:0048008	18
GO:0050856	18
GO:0034381	18
GO:0003044	18
GO:0002724	18
GO:0043588	18
GO:0032925	18
GO:0043525	18
GO:0097028	18
GO:0002712	18
GO:0048635	18
GO:0030513	18
GO:0030194	18
GO:2000403	18
GO:0043372	18
GO:0045684	18
GO:0050869	18
GO:0042475	18
GO:0010881	17
GO:0002889	17
GO:0043567	17
GO:0090049	17
GO:0045746	17
GO:0001990	17
GO:0022405	17
GO:0007274	17
GO:0043534	17
GO:0070232	17
GO:0045843	17
GO:0043304	17
GO:0002026	17
GO:0003179	17
GO:0010660	17
GO:0061217	17
GO:2000108	17
GO:0048675	17
GO:0048676	17
GO:0007213	17
GO:0003009	17
GO:0033006	17
GO:0034377	17
GO:0001776	17
GO:0090023	17
GO:0045124	17
GO:0030511	17
GO:0061001	17
GO:0045685	17
GO:0045773	17
GO:0002312	17
GO:2000406	16
GO:0002228	16
GO:0001889	16
GO:0060348	16
GO:0071542	16
GO:0045214	16
GO:0051965	16
GO:0021675	16
GO:0043299	16
GO:0055025	16
GO:0055021	16
GO:0001656	16
GO:0001704	16
GO:0072163	16
GO:0090025	16
GO:0043030	16
GO:0051146	16
GO:0010837	16
GO:0035455	16
GO:0048661	16
GO:0042104	16
GO:0048747	16
GO:0045776	16
GO:0045648	16
GO:0060307	15
GO:0000578	15
GO:2000398	15
GO:0048490	15
GO:0045745	15
GO:0002227	15
GO:0051154	15
GO:0033081	15
GO:0002456	15
GO:0031663	15
GO:0060397	15
GO:0061005	15
GO:2000463	15
GO:0034375	15
GO:0061036	15
GO:0007210	15
GO:0060390	15
GO:0042572	15
GO:0060999	15
GO:0072164	15
GO:0035587	15
GO:0045992	15
GO:0040036	15
GO:0042733	15
GO:0042730	15
GO:0007339	15
GO:0007528	14
GO:0033688	14
GO:0045624	14
GO:0055006	14
GO:0035235	14
GO:0030316	14
GO:0042267	14
GO:0002260	14
GO:0045663	14
GO:0031664	14
GO:0032814	14
GO:0043010	14
GO:0021885	14
GO:0060421	14
GO:0061213	14
GO:0045652	14
GO:0001914	14
GO:0014742	14
GO:0014015	14
GO:0007422	14
GO:0031018	14
GO:0060043	14
GO:0045606	14
GO:0050775	14
GO:0042119	14
GO:0042116	14
GO:0002717	14
GO:0045907	14
GO:0060554	14
GO:0046636	14
GO:0046632	14
GO:0060317	14
GO:0046640	14
GO:0021782	14
GO:0090189	14
