	Thyroid	Testis	Skin - Not Sun Exposed (Suprapubic)	Ovary	Esophagus - Muscularis	Vagina	Heart - Atrial Appendage	Brain - Anterior cingulate cortex (BA24)	Brain - Putamen (basal ganglia)	Pituitary	Breast - Mammary Tissue	Cervix - Ectocervix	Stomach	Fallopian Tube	Brain - Cerebellum	Cervix - Endocervix	Esophagus - Mucosa	Bladder	Brain - Cerebellar Hemisphere	Small Intestine - Terminal Ileum	Artery - Coronary	Liver	Esophagus - Gastroesophageal Junction	Brain - Hypothalamus	Colon - Transverse	Prostate	Brain - Amygdala	Pancreas	Adipose - Subcutaneous	Skin - Sun Exposed (Lower leg)	Spleen	Brain - Hippocampus	Heart - Left Ventricle	Brain - Cortex	Muscle - Skeletal	Kidney - Cortex	Brain - Spinal cord (cervical c-1)	Uterus	Brain - Nucleus accumbens (basal ganglia)	Brain - Caudate (basal ganglia)	Minor Salivary Gland	Whole Blood	Artery - Aorta	Brain - Frontal Cortex (BA9)	Adipose - Visceral (Omentum)	Adrenal Gland	Lung	Cells - Transformed fibroblasts	Artery - Tibial	Colon - Sigmoid	Nerve - Tibial	Brain - Substantia nigra	Cells - EBV-transformed lymphocytes
n_samples	323	172	250	97	247	96	194	84	97	103	214	6	193	6	125	5	286	11	105	88	133	119	153	96	196	106	72	171	350	357	104	94	218	114	430	32	71	83	113	117	57	393	224	108	227	145	320	284	332	149	304	63	118
avg_var	32926.53888345771	18755.01873189493	26988.357059937072	16437.351555833437	40105.45357184499	56850.14666492635	265864.22431759693	251574.4395312882	325344.34604922094	233017.044487674	50795.776718923036	65871.64618348371	632482.4033490596	7671.021615323564	41387.96484558852	7415.31570644088	86084.68201020143	15247.023416908616	134749.2095247016	96713.91891278606	36471.58970771481	375534.74934500194	48648.52438735547	311251.45026711246	127126.78483245692	64814.149258016994	264357.9543680475	637292.0542990474	30068.620357966232	306609578.7553661	110323.04381668505	336040.06461259176	196822992.58583343	95211.70692508719	3514479283.774957	523217.24020849867	187464.3927371997	16566.448223216696	295003.01366904454	268979.7742565254	253953.88815013232	12761085.064629413	19398.41297884488	176500.7380545154	77689.74422723388	599305.9617424614	30129.623016716545	13832.158803809243	18046.408026216115	45930.91901900664	9957.28202600406	253501.33282414655	17743.449237609468
var_var	1410001383210.6946	518395939278.1789	740755668459.6959	276474022748.3646	2024146318452.5361	3013699567134.779	107604762815351.34	119035088058655.12	194508434593808.25	122610505211784.81	2959745950495.453	6909828437566.754	588360381501416.0	22275963547.66935	3028384294872.108	21238974539.061398	13200656768899.354	132122226214.42229	34303498113330.96	9729542842336.129	950926044850.6039	140874877650166.9	3676651273738.8857	165615386313547.16	23408677963929.473	7103452408353.392	134397746949610.75	673662861784230.8	1153899865480.3823	9.399415492567646e+20	38370119733528.74	209048122417597.2	3.8504428470411454e+20	15546538094443.533	1.2350689151238154e+23	653552136245458.9	47559400559251.055	178207748260.43457	167957881802681.66	137107874075426.53	226052870923701.0	6.80040577812097e+17	659929374336.8464	54935813951000.95	8202808164920.702	2681162541915482.0	500774718521.8916	70312660682.84142	168452326909.9113	2559038203134.06	105393541678.81003	99412230416835.98	247693281716.4977
max_dist	85448.565565415454	57171.172763824863	81603.879839540212	53136.814100061812	122444.59017126242	74790.443983994803	238975.54969959156	216319.51063565697	258653.91091822603	193707.77380519954	99540.624892357955	57032.849318093344	243367.11389620387	15317.174379196895	117880.66386925851	15070.009077870061	94497.051822150446	27177.665810749084	207894.07273717923	140518.71639981802	90203.967651469517	297425.8084809517	95068.572025627829	247415.51067224686	161215.44906692937	143820.14924313448	193392.08783214731	325261.15743414278	95889.080474319635	33083360.132609159	193076.10933972659	233409.44549928882	17306379.955014501	152901.53688951748	92552486.58252351	269647.56907383021	189207.4896661572	44492.649591099784	234869.91048317665	250138.80025679199	189967.63791765066	1462101.4259366048	54019.174511509191	209954.93580031212	140519.11780063552	875856.1080905461	105430.36838890171	42060.012374593665	53215.884533900884	170472.15851578841	71496.800611555853	209064.9445144065	53441.813772033209
