GTEX-144GN-0726-SM-5O98O	Adipose - Visceral (Omentum)
GTEX-144GN-1126-SM-5LU33	Colon - Transverse
GTEX-144GN-0626-SM-5O9B2	Esophagus - Mucosa
GTEX-144GN-0326-SM-5O9AD	Artery - Aorta
GTEX-144GN-0426-SM-5O9AP	Lung
GTEX-144GN-2426-SM-5LU4R	Muscle - Skeletal
GTEX-144GN-2526-SM-5LU54	Nerve - Tibial
GTEX-144GN-0826-SM-5LU5G	Pancreas
GTEX-144GN-2326-SM-5LU4F	Skin - Sun Exposed (Lower leg)
GTEX-144GN-2126-SM-5O99D	Spleen
GTEX-144GN-1226-SM-5O991	Stomach
GTEX-144GN-1626-SM-5Q5BU	Testis
