GTEX-113JC-0726-SM-5GZZR	Adipose - Visceral (Omentum)
GTEX-113JC-0008-SM-5QGR6	Cells - Transformed fibroblasts
GTEX-113JC-1026-SM-5H117	Esophagus - Gastroesophageal Junction
GTEX-113JC-0926-SM-5H114	Esophagus - Muscularis
GTEX-113JC-2726-SM-5EGIS	Muscle - Skeletal
GTEX-113JC-2826-SM-5EGIT	Pituitary
GTEX-113JC-2326-SM-5EQ4E	Skin - Sun Exposed (Lower leg)
GTEX-113JC-0126-SM-5EGJW	Thyroid
GTEX-113JC-2226-SM-5EGJG	Uterus
GTEX-113JC-1926-SM-5N9GE	Vagina
GTEX-113JC-0006-SM-5O997	Whole Blood
