GTEX-1117F-1326-SM-5EGHH	Adipose - Visceral (Omentum)
GTEX-1117F-3226-SM-5N9CT	Brain - Cortex
GTEX-1117F-2826-SM-5GZXL	Breast - Mammary Tissue
GTEX-1117F-0726-SM-5GIEN	Heart - Atrial Appendage
GTEX-1117F-3026-SM-5GZYU	Minor Salivary Gland
GTEX-1117F-0426-SM-5EGHI	Muscle - Skeletal
GTEX-1117F-0626-SM-5N9CS	Artery - Coronary
GTEX-1117F-2926-SM-5GZYI	Skin - Not Sun Exposed (Suprapubic)
GTEX-1117F-2426-SM-5EGGH	Uterus
GTEX-1117F-2526-SM-5GZY6	Vagina
