GO Process ID	Num_Genes_In_Ensembl
GO:0048715	13
GO:0048712	13
GO:0060389	13
GO:0006590	12
GO:0055003	12
GO:0055008	12
GO:0007191	12
GO:0001963	12
GO:0001779	12
GO:0055119	12
GO:0060644	12
GO:0043616	12
GO:0030517	12
GO:0045778	12
GO:0031629	12
GO:0007171	12
GO:0002031	12
GO:0043568	12
GO:0045744	12
GO:0045745	12
GO:0060996	12
GO:0060218	12
GO:0060391	12
GO:0001706	12
GO:0060707	12
GO:0003279	12
GO:0045667	12
GO:0045060	12
GO:0007212	12
GO:0042574	12
GO:0021670	12
GO:0046628	12
GO:0021846	12
GO:0001829	12
GO:0071872	12
GO:0030195	12
GO:0060444	12
GO:0030033	12
GO:0032230	12
GO:0042692	12
GO:0048599	12
GO:0090179	12
GO:0021954	12
GO:0048711	12
GO:0045670	12
GO:0010759	11
GO:0046849	11
GO:0007342	11
GO:0003198	11
GO:0060122	11
GO:0003203	11
GO:0006937	11
GO:0001946	11
GO:0003222	11
GO:0007494	11
GO:0016056	11
GO:0043249	11
GO:0060413	11
GO:0048484	11
GO:0031643	11
GO:0031076	11
GO:0001823	11
GO:0007178	11
GO:0097028	11
GO:0070997	11
GO:0060009	11
GO:0042136	11
GO:0032228	11
GO:2000406	11
GO:0060394	11
GO:0021756	11
GO:0048703	11
GO:0090129	11
GO:0060272	11
GO:0055015	11
GO:0070166	11
GO:0014898	11
GO:0050868	11
GO:0048333	11
GO:0043032	11
GO:0002089	11
GO:0030277	11
GO:0001833	11
GO:0008347	11
GO:0034374	11
GO:0003323	11
GO:0030239	11
GO:0002003	11
GO:0045779	11
GO:0042312	11
GO:0021702	11
GO:0033327	11
GO:0048596	11
GO:0033690	11
GO:0030850	10
GO:0044342	10
GO:0001774	10
GO:0090051	10
GO:0034116	10
GO:0051918	10
GO:0060484	10
GO:0010820	10
GO:0060088	10
GO:0033089	10
GO:0070365	10
GO:0048643	10
GO:0042116	10
GO:0045598	10
GO:0021904	10
GO:0032525	10
GO:0048935	10
GO:0048745	10
GO:0060487	10
GO:0016331	10
GO:0002726	10
GO:0002446	10
GO:0090331	10
GO:0042551	10
GO:0048708	10
GO:0048048	10
GO:0003215	10
GO:0035455	10
GO:0035457	10
GO:0010700	10
GO:0060158	10
GO:0021675	10
GO:0010831	10
GO:0090009	10
GO:0016064	10
GO:0043114	10
GO:0043117	10
GO:0060674	10
GO:0007168	10
GO:0032725	10
GO:0060445	10
GO:0001893	10
GO:0043306	10
GO:0051024	10
GO:0048853	10
GO:0030851	9
GO:0035385	9
GO:0034383	9
GO:0021785	9
GO:0001960	9
GO:0071374	9
GO:0001771	9
GO:0046638	9
GO:0044320	9
GO:0051146	9
GO:0046548	9
GO:0060340	9
GO:0043586	9
GO:0043583	9
GO:0043589	9
GO:0002860	9
GO:0060068	9
GO:0061072	9
GO:0001825	9
GO:0007175	9
GO:0021680	9
GO:0060044	9
GO:0045124	9
GO:0040037	9
GO:0060452	9
GO:0003334	9
GO:0045741	9
GO:0060020	9
GO:0060997	9
GO:0050880	9
GO:0050774	9
GO:0042473	9
GO:0033689	9
GO:0060539	9
GO:0060252	9
GO:0046641	9
GO:0002281	9
GO:0006942	9
GO:0007184	9
GO:0003214	9
GO:0090244	9
GO:0071340	9
GO:0001973	9
GO:0021799	9
GO:0061314	9
GO:0051967	9
GO:0008593	9
GO:0046007	9
GO:0032836	9
GO:0032835	9
GO:0010838	9
GO:0002523	9
GO:0043116	9
GO:0060670	9
GO:0030299	9
GO:0048617	9
GO:0060055	9
GO:0048846	9
GO:0060039	9
GO:0048245	9
GO:0090394	9
GO:0070493	9
GO:0010459	9
GO:0061001	9
GO:0043534	9
GO:0042698	9
GO:0021895	9
GO:0060711	9
GO:0048012	9
GO:0031102	8
GO:0002456	8
GO:0002903	8
GO:0034380	8
GO:0032926	8
GO:0032927	8
GO:0045654	8
GO:0030595	8
GO:0007207	8
GO:0003197	8
GO:0072075	8
GO:0003208	8
GO:0002455	8
GO:0043030	8
GO:0090050	8
GO:0061303	8
GO:0061179	8
GO:2000543	8
GO:0010544	8
GO:0001841	8
GO:0046549	8
GO:0007289	8
GO:0060346	8
GO:0042074	8
GO:0031666	8
GO:0070307	8
GO:0060080	8
GO:0003139	8
GO:0048489	8
GO:0070327	8
GO:0032811	8
GO:0040016	8
GO:0040019	8
GO:0010614	8
GO:0019227	8
GO:0007172	8
GO:0035845	8
GO:0031017	8
GO:0040036	8
GO:0048660	8
GO:0033598	8
GO:0042119	8
GO:0042117	8
GO:0030903	8
GO:0060993	8
GO:0050773	8
GO:0016081	8
GO:0016082	8
GO:0030432	8
GO:0060396	8
GO:0048702	8
GO:0016188	8
GO:0007183	8
GO:0007217	8
GO:0050805	8
GO:0021795	8
GO:0014732	8
GO:0060155	8
GO:0014894	8
GO:0050863	8
GO:0001955	8
GO:0003143	8
GO:0034101	8
GO:0021612	8
GO:0021860	8
GO:0060371	8
GO:0051963	8
GO:0032330	8
GO:0070102	8
GO:0010579	8
GO:0060840	8
GO:2000020	8
GO:0034379	8
GO:0051451	8
GO:0061049	8
GO:0048672	8
GO:0003300	8
GO:0045580	8
GO:0010470	8
GO:0001542	8
GO:0060012	8
GO:0043304	8
GO:0021707	8
GO:0016322	8
GO:0021952	8
GO:0045617	8
GO:0072520	8
GO:0035590	8
GO:0060712	8
GO:0045059	8
GO:0030853	7
GO:0030854	7
GO:0055001	7
GO:0072015	7
GO:0048739	7
GO:0045650	7
GO:0007197	7
GO:0007196	7
GO:0021520	7
GO:0060907	7
GO:0001961	7
GO:0007221	7
GO:0001945	7
GO:0014883	7
GO:0045576	7
GO:0051971	7
GO:0048793	7
GO:0034115	7
GO:2000096	7
GO:0071679	7
GO:0044321	7
GO:0007288	7
GO:0032825	7
GO:0051932	7
GO:0031665	7
GO:0043382	7
GO:0060411	7
GO:0014009	7
GO:0031642	7
GO:0032287	7
GO:0002606	7
GO:0070474	7
GO:0003073	7
GO:0060831	7
GO:0003337	7
GO:0043569	7
GO:0001783	7
GO:0048642	7
GO:0048644	7
GO:0010656	7
GO:0045162	7
GO:0021902	7
GO:0051549	7
GO:0002315	7
GO:0010882	7
GO:0001553	7
GO:0042135	7
GO:0060687	7
GO:0070050	7
GO:2000171	7
GO:0045606	7
GO:0060119	7
